kt_x0.1_x_r,kt_x0.1_x_L_norm,kt_x0.1_x_pe_atom,kt_x0.1_x_ebond_atom,kt_x0.1_x_eangle_atom,kt_x0.1_x_edihed_atom,kt_x0.1_x_bm,kt_x0.1_x_r_theory,kt_x0.1_x_r/r_theory,kt_x0.1_y_r,kt_x0.1_y_L_norm,kt_x0.1_y_pe_atom,kt_x0.1_y_ebond_atom,kt_x0.1_y_eangle_atom,kt_x0.1_y_edihed_atom,kt_x0.1_y_bm,kt_x0.1_y_r_theory,kt_x0.1_y_r/r_theory
2.094406741,0.968558572,0.065908989,1.66078E-28,0.029841125,0.036067864,0.211184103,2.001048226,1.046654805,2.137960688,0.986923081,0.057544369,4.31641E-28,0.023769813,0.033774556,0.19213071,2.079550317,1.028087982
2.479377431,0.978299417,0.04208273,6.89594E-29,0.013871339,0.028211391,0.188966021,2.401257871,1.032532766,2.817232189,0.992438954,0.029754071,2.86091E-24,0.007356951,0.02239712,0.172498847,2.772733757,1.016048577
2.868469479,0.984160841,0.029603888,1.6688E-24,0.007323267,0.02228062,0.17792777,2.801467516,1.023916737,3.501731427,0.995115485,0.018471346,4.27716E-24,0.002980605,0.015490741,0.165446933,3.465917196,1.010333262
3.260280217,0.987939172,0.022113495,8.23125E-24,0.004232066,0.017881429,0.171696625,3.201677161,1.018303862,4.189032304,0.996594085,0.012653144,5.7999E-29,0.001428642,0.011224502,0.162188627,4.159100635,1.007196669
3.653943594,0.990511462,0.017210235,1.16759E-25,0.002616695,0.01459354,0.167843687,3.601886807,1.014452644,4.877980892,0.997492414,0.009229869,4.37991E-28,0.000768268,0.008461601,0.160424332,4.852284074,1.005295819
4.048915632,0.992340191,0.013803458,7.69236E-25,0.001705143,0.012098315,0.165295059,4.002096452,1.011698664,5.567974226,0.998077785,0.0070371,1.78594E-27,0.000449245,0.006587855,0.159361221,5.545467513,1.004058578
4.444842742,0.993686384,0.011330878,2.05878E-24,0.001158832,0.010172047,0.163520009,4.402306097,1.009662355,6.258669759,0.998480045,0.005545444,3.52147E-27,0.000279989,0.005265455,0.158670028,6.238650952,1.003208836
4.841486827,0.994706015,0.009475155,4.91034E-29,0.000815136,0.008660019,0.162232677,4.802515742,1.008114723,6.949859324,0.998768203,0.004483787,6.04336E-27,0.000183479,0.004300308,0.158194551,6.931834391,1.002600312
5.238682301,0.995496819,0.008044705,7.85898E-29,0.000590089,0.007454616,0.16126822,5.202725387,1.006911169,7.641409388,0.998981617,0.003700933,7.19724E-27,0.000125206,0.003575727,0.157852962,7.625017831,1.002149707
8.027523481,0.998108828,0.003362857,3.1855E-25,0.000104336,0.003258521,0.158294579,8.004192904,1.002914795,8.33323046,0.999144049,0.003106935,8.64255E-27,8.83437E-05,0.003018591,0.157598991,8.31820127,1.001806784
16.02003773,0.999528881,0.000836503,7.31233E-24,6.4877E-06,0.000830015,0.156815528,16.00838581,1.000727864,9.025260352,0.999270524,0.002645478,9.56861E-27,6.41057E-05,0.002581372,0.157404839,9.011384709,1.00153979
32.02259579,0.999882328,0.000208883,6.39133E-28,4.04969E-07,0.000208478,0.156462601,32.01677161,1.00018191,13.8726933,0.999691605,0.001115264,3.87244E-27,1.1423E-05,0.001103841,0.156781126,13.86366878,1.000650947
64.0364551,0.999970589,5.22059E-05,3.06401E-24,2.53026E-08,5.21806E-05,0.15637542,64.03354323,1.000045474,27.73185124,0.999922877,0.000278505,7.23031E-27,7.13241E-07,0.000277792,0.156453401,27.72733757,1.000162788
128.0685424,0.999992648,1.30505E-05,1.14724E-22,1.58129E-09,1.3049E-05,0.15635369,128.0670865,1.000011368,55.45693214,0.999980718,6.96075E-05,1.86444E-25,4.45667E-08,6.95629E-05,0.156373082,55.45467513,1.0000407
