x_r,x_L_norm,x_pe_atom,x_ebond_atom,x_eangle_atom,x_edihed_atom,x_bm,x_r_theory,x_r/r_theory,y_r,y_L_norm,y_pe_atom,y_ebond_atom,y_eangle_atom,y_edihed_atom,y_bm,y_r_theory,y_r/r_theory
2.078540747,0.977264992,0.387327437,3.29628E-26,0.033654653,0.353672784,1.222333932,2.001048226,1.038725964,2.124603875,0.993697858,0.359436062,3.89783E-29,0.026279787,0.333156275,1.185146687,2.079550317,1.021665048
2.460330905,0.986714835,0.292770557,9.95821E-26,0.017636362,0.275134195,1.294520595,2.401257871,1.024600871,2.803440736,0.997556276,0.230096068,3.91593E-29,0.008840405,0.221255663,1.320950296,2.772733757,1.011074622
2.848409491,0.991616058,0.227509788,1.11226E-23,0.010375912,0.217133875,1.348340111,2.801467516,1.016756209,3.488876497,0.998889619,0.157208367,6.70616E-29,0.00380053,0.153407837,1.397788197,3.465917196,1.006624307
3.240259567,0.994376858,0.181055465,2.39428E-24,0.0065545,0.174500965,1.388563556,3.201677161,1.012050686,4.177373544,0.999430376,0.113287533,2.91485E-27,0.0018956,0.111391933,1.444053441,4.159100635,1.004393476
3.634463648,0.996039447,0.147069894,1.20797E-23,0.004351604,0.142718291,1.419054122,3.601886807,1.009044382,4.867457379,0.999679579,0.085154014,7.18706E-27,0.001047304,0.08410671,1.473682611,4.852284074,1.003127044
4.030201917,0.997096612,0.121585704,1.00023E-28,0.003000947,0.118584757,1.442549234,4.002096452,1.007022686,5.558449056,0.999806408,0.066183745,1.02154E-26,0.000624083,0.065559662,1.493664702,5.545467513,1.002340928
4.426979933,0.997799776,0.102052859,2.90852E-28,0.002134001,0.099918858,1.460948156,4.402306097,1.005604753,6.250002838,0.999876207,0.052840487,1.27419E-26,0.000394279,0.052446208,1.507723704,6.238650952,1.001819606
4.82448713,0.998285553,0.086788964,6.08734E-28,0.001556959,0.085232005,1.475575136,4.802515742,1.004574975,6.941927058,0.999917112,0.043122839,1.41476E-26,0.000260986,0.042861853,1.517965714,6.931834391,1.001455988
5.222521182,0.998632184,0.074655658,8.71752E-28,0.001161165,0.073494492,1.487365375,5.202725387,1.003804889,7.634107806,0.999942349,0.035837907,1.44269E-26,0.000179461,0.035658446,1.525645875,7.625017831,1.001192125
8.015910761,0.999564928,0.03258629,1.31675E-28,0.000228779,0.032357511,1.529449658,8.004192904,1.001463965,8.326473428,0.999958602,0.030242208,1.33859E-26,0.000127376,0.030114832,1.531546589,8.31820127,1.000994465
16.01389105,0.999913177,0.008299486,5.8665E-28,1.51983E-05,0.008284287,1.554674389,16.00838581,1.000343897,9.018976692,0.999969453,0.025854227,1.48358E-26,9.28611E-05,0.025761366,1.536174713,9.011384709,1.000842488
32.01947754,0.999979743,0.002084726,1.58232E-27,9.65318E-07,0.00208376,1.561248098,32.01677161,1.000084516,13.86850655,0.999993893,0.011045418,1.3315E-26,1.68128E-05,0.011028605,1.551801083,13.86366878,1.000348953
64.03489027,0.999995027,0.000521802,3.90941E-27,6.05792E-08,0.000521742,1.562909223,64.03354323,1.000021037,27.72972909,0.999999432,0.002778346,1.14743E-23,1.0593E-06,0.002777287,1.560529994,27.72733757,1.000086251
128.0677592,0.999998763,0.000130489,6.66169E-23,3.79008E-09,0.000130486,1.563325627,128.0670865,1.000005253,55.45586743,0.999999919,0.000695656,4.86508E-23,6.6342E-08,0.000695589,1.562729718,55.45467513,1.0000215
