code,radius_ext,radius_int,pe_atom_copy,pe_atom_ref,dim,nx,ny,radius,atoms,bonds,angles,dihedrals,lx,ly,lz,pe_atom,ebond_atom,eangle_atom,edihed_atom,pxx,pyy,pzz,pxy,pxz,pyz
y_3,3.970669996,2.124603875,1.063563984,0.704127922,y,3,9,3.970669996,108,162,324,648,13.0662,22.631319,37.20377258,1.063563984,0.102024351,0.721295443,0.24024419,2.93E-08,1.68E-08,0.000000017,-2.95E-11,1.15E-11,8.66E-11
y_3,4.900702987,2.124603875,0.967818192,0.60838213,y,3,11,4.900702987,132,198,396,792,13.0662,27.660501,38.80461093,0.967818192,0.112250562,0.627936179,0.227631451,6.12E-10,5.76E-10,5.85E-10,-1.13E-11,1.38E-11,2.57E-11
y_3,5.358147282,2.124603875,0.92713914,0.567703078,y,3,12,5.358147282,144,216,432,864,13.0662,30.175092,39.6050301,0.92713914,0.113631444,0.587686735,0.225820961,6.28E-10,-3.77E-09,-3.8E-09,-5.77E-12,-1.96E-11,-4.28E-12
y_3,10.11840172,2.124603875,0.595225649,0.235789587,y,3,24,10.11840172,288,432,864,1728,13.0662,60.350184,49.2100602,0.595225649,0.031427855,0.275489448,0.288308345,-17.41596694,-433.1761911,-652.3500414,1.876806252,-0.374581956,-365.0621622
y_3,20.55133257,2.124603875,0.455370768,0.095934706,y,3,48,20.55133257,576,864,1728,3456,13.0662,120.700368,68.4201204,0.455370768,0.039457173,0.138141268,0.277772327,-2.82E-09,9.68E-08,0.000000223,2.61E-11,8.09E-11,-9.09E-08
y_3,39.82875005,2.124603875,0.387228244,0.027792182,y,3,96,39.82875005,1152,1728,3456,6912,13.0662,241.400736,106.8402408,0.387228244,0.012902226,0.068343336,0.305982681,-2.65E-10,6.64E-09,-1.34E-08,-1.13E-10,-4.44E-11,-6.61E-08
y_3,78.08326078,2.124603875,0.366715394,0.007279332,y,3,192,78.08326078,2304,3456,6912,13824,13.0662,482.801472,183.6804816,0.366715394,0.00376926,0.044348892,0.318597241,5.44E-10,1.72E-08,4.27E-08,9.96E-11,5.44E-10,1.28E-08
y_3,154.4498879,2.124603875,0.361160073,0.001724011,y,3,384,154.4498879,4608,6912,13824,27648,13.0662,965.602944,337.3609632,0.361160073,0.001133009,0.036639185,0.323387879,-9.6E-11,-3.58E-08,-3.63E-08,1.75E-10,6.25E-11,2.04E-09
y_3,179.8965825,2.124603875,0.36065543,0.001219368,y,3,448,179.8965825,5376,8064,16128,32256,13.0662,1126.536768,388.5877904,0.36065543,0.00088663,0.035854711,0.323914089,3.26E-11,-7.47E-08,-7.45E-08,1.55E-10,5.43E-11,3.42E-11
y_3,357.9992444,2.124603875,0.359598172,0.00016211,y,3,896,357.9992444,10752,16128,32256,64512,13.0662,2253.073536,747.1755808,0.359598172,0.000364255,0.034118604,0.325115313,1.07E-11,7.38E-09,7.43E-09,1.82E-10,5.07E-11,1.88E-11
y_3,714.1822856,2.124603875,0.359331701,-0.000104361,y,3,1792,714.1822856,21504,32256,64512,129024,13.0662,4506.147072,1464.351162,0.359331701,0.00023093,0.033654376,0.325446395,2.91E-12,0.000000525,0.000000527,2.41E-09,5.41E-11,-1.99E-10
y_4,6.514237864,2.803440736,0.65888017,0.428784103,y,4,15,6.514237864,240,360,720,1440,17.4216,37.718865,42.00628763,0.65888017,0.068237987,0.396606844,0.194035338,-4.85E-10,-1.39E-09,-1.38E-09,5.86E-12,3.8E-11,-1.92E-11
